id,场景,步骤,预期,状态
S1-01,升级保全,有旧日记和草稿的安装包升级后联网打开,当前账号验证后不自动认领旧记录或发送旧队列；原内容可在隔离备份中找到,NOT_EXECUTED
S1-02,冷启动离线,彻底关闭后断网重启,私人页面锁定；没有删除原缓存或草稿；联网验证后恢复,NOT_EXECUTED
S1-03,同会话离线草稿,联网验证后断网编辑草稿再联网,同账号草稿保留；不出现其他账号内容,NOT_EXECUTED
S1-04,双账号隔离,A保存私人记录草稿并留待同步操作后切B,B看不到A私人内容且不发送A操作；回A可恢复,NOT_EXECUTED
S1-05,丢响应,A保存时弱网中断后重试,同请求最多一条记录；未确认成功不清草稿,NOT_EXECUTED
S1-06,上传中换号,A上传照片时中断并切B,不把A内容提交到B；A未完成草稿仍保留,NOT_EXECUTED
S1-07,原生照片选择,Add和个人资料选择照片返回含前后台切换,同账号可恢复选择结果；换号结果被丢弃；旧草稿不误清,NOT_EXECUTED
S1-08,原生位置选择,Add和Map选择位置后返回,同账号正常应用；陈旧其他账号回调不写入当前记录,NOT_EXECUTED
S1-09,队列与杀进程,离线修改收藏删除后杀进程再联网重启,核验身份后恢复本人队列；删除不复活；其他账号不重放,NOT_EXECUTED
S1-10,旧操作只读核验,进入账号与旧数据执行核验,未知结果保留unresolved；无新增餐食写入,NOT_EXECUTED
S1-11,显式复制,确认复制旧记录昵称或文字草稿,仅本机私人副本；无云ID共享权限照片或重试身份；原值保留,NOT_EXECUTED
S1-12,导出隐私,导出当前分区和隔离备份并取消或分享,有敏感数据确认；内容可恢复检查；不自动上传或重放,NOT_EXECUTED
S1-13,配额错误,模拟存储不足后保存资料草稿或迁移,错误可见；旧数据不被重置；未保存不宣称成功,NOT_EXECUTED
S1-14,云权限双账号,授权环境中以B访问A记录照片或伪造expectedUserId,拒绝或安全兜底；无越权读写,NOT_EXECUTED
S1-15,界面兼容,五Tab及Sheet键盘滚动中英文主题Quiet大字,主要业务可达；Map保持最新开关样式；锁定解除正常绘制,NOT_EXECUTED
S1-16,版本错配,仅在隔离授权测试环境模拟account或mealRecords缺失旧版,锁定或明确升级提示；不能发送餐食写入；不要改正式环境做破坏测试,NOT_EXECUTED
