编号,范围,条件,动作,预期,状态,实际结果,设备/微信/基础库版本,前端/云函数版本,脱敏证据,执行人/日期
D01,发布一致性,开发者工具/云控制台,确认前端与 mealRecords 为本批次版本；不清空数据,云函数支持操作版本回执，环境仍为 cloud1-d9gqm52id66c0bcda,待真机/线上执行,,,,,
D02,Owner 读取隔离,账号 A 与 B,A 创建合成餐食，B 使用其记录 ID 请求 get/list,B 不得到 A 的记录；get 返回 NOT_FOUND,待真机/线上执行,,,,,
D03,Owner 写入隔离,账号 A 与 B,B 尝试对 A 记录 update/flags/delete，并伪造 createdBy,所有越权请求被拒绝，A 数据不变,待真机/线上执行,,,,,
D04,存储读取规则,两账号/合成测试图,B 尝试读取 A 的私人云照片,按现有私人规则拒绝；不得通过放宽公开读取解决,待真机/线上执行,,,,,
D05,离线持久化,同账号重启,断网编辑/收藏，杀进程，再打开并联网,草稿和 outbox 保留，按请求身份恢复，不重复应用,待真机/线上执行,,,,,
D06,删除不复活,同账号重启,断网删除，重启联网，并重复拉取列表,删除确认后不复活；照片暂时保留符合当前策略,待真机/线上执行,,,,,
D07,组合并发故障,同账号两设备/可控故障注入,第一操作写成功后丢响应；另一设备修改；重试并提交本机后续编辑,保留另一设备修改，后续旧编辑显式冲突；无故障注入条件则保持待验证,待真机/线上执行,,,,,
D08,回执兼容,合成旧操作数据,对缺少操作版本回执的历史请求重试,不猜测可安全推进版本，必要时进入冲突处理,待真机/线上执行,,,,,
D09,草稿边界,同账号/合成餐食,保存期间尝试打开另一条编辑；旧任务结束后检查草稿,进行中的重试草稿受保护，不清除后来替换的草稿,待真机/线上执行,,,,,
D10,存储不足,测试设备/专用测试数据,模拟缓存写入失败后收藏、删除、保存,不误删、不丢重试意图，有错误反馈,待真机/线上执行,,,,,
D11,字段与九图,真机,输入菜系/菜品/人均，添加九图，预览并删除中间图，保存重启,字段与图片次序正确；取消及失败不丢输入,待真机/线上执行,,,,,
D12,日期与评分,真机东八区跨日,跨本地午夜打开 Add；分别保存未评分与旧双评分记录,日期正确；不制造三颗星或复制双人评分,待真机/线上执行,,,,,
D13,地理一致性,真机腾讯选点,选不同城市的同名分店，修正旧记录；测试未知地址格式,不复用旧 Paris/France，未知信息可人工确认,待真机/线上执行,,,,,
D14,滚动及主题,两种屏幕高度,Me 二级菜单滚到底，弹出键盘，切换亮暗与语言,末尾操作可达，无遮挡或意外覆盖文案,待真机/线上执行,,,,,
D15,平台缓存隔离观察,两个实际微信账号,按平台允许方式切换账号，记录本机缓存/会话是否保留,收集真实平台行为；尚无应用层账号分区，不能标为 S1 已完成,待真机/线上执行,,,,,
D16,分享候选导入,真机／五条样例,分别粘贴点评堂食与美团外卖文案；取消、确认、切语言、保存重启,字段匹配；参考分价不写个人字段；重选日期和分店；取消不覆盖,待真机/线上执行,,,,,
D17,确认期间变化与失败,真机／测试数据,候选确认时改草稿；模拟本机存储不足或云回执读取失败,不覆盖新草稿；无成功误报；编辑仍保留,待真机/线上执行,,,,,
D18,导入后的地图分店,真机腾讯选点,核对店名、城市、分店及实际地址；外卖不得选收货地址,真实分店吻合；搜索不到时不伪造坐标,待真机/线上执行,,,,,
