Home	回忆
Map	地图
Add	记录
Us	我们
Me	我的
Add a memory	添加一顿回忆
Add a Memory	记录一顿美好
Capture the flavor. Keep the feeling.	记下味道，也留住心情。
Universal import	万能导入
Links / Screenshot OCR · Planned	链接 / 截图 OCR · 规划中
A moment worth keeping	留住这一刻
Edit	编辑
Add more	添加照片
photos	张照片
Restaurant	餐厅
New place in	新餐厅所在城市
Notes	回忆
Date	日期
Rating	评分
Tags	标签
Close and keep draft	关闭并保留草稿
Choose a photo	选择照片
Add more photos	添加更多照片
Remove last added photo	移除最后添加的照片
A place to remember	写下餐厅或地点名称
Clear restaurant	清除餐厅名称
What made it special?	这一顿有什么难忘之处？
Add a tag	添加标签
Name a feeling...	为这一刻加个标签…
Confirm tag	确认标签
Savor	Savor
the moment.	留住此刻。
Collect beautiful meals and the memories that come with them.	收藏每一顿美食，也收藏相伴的回忆。
This week	这一周
Meals	餐食
Places	地点
Recent	最近回忆
Your story starts with a meal.	你的故事，从一顿饭开始。
Add your first memory	记录第一顿美好
Notifications	提醒
View this week's memories	查看本周回忆
Map preview unavailable	地图暂时不可用
Your memories are still here — check your connection.	回忆还在，请检查网络连接。
Retry	重试
Map First	美食地图
Explore where memories live.	去回忆发生的地方看看。
Show on the map	地图显示
All memories	全部回忆
Favorites only	仅看收藏
Our shared memories	我们分享的回忆
Correct location	校准位置
Open in Tencent Maps	在腾讯地图打开
Search restaurants, places, tags	搜索餐厅、地点或标签
Clear search	清除搜索
Filter map memories	筛选地图回忆
Show all restaurant locations	显示所有餐馆位置
Countries	国家
Years	年
Edit profile	编辑资料
Explore your food memories	探索你的美食回忆
Our space. Our memories.	我们的空间，共同的回忆。
Together for	已经相伴
days	天
Our Journey	我们的旅程
Shared Moments	共享时光
See all	查看全部
Good food is even better together.	好吃的，一起吃更美好。
Share a memory to start your story.	分享一顿美食，开启我们的故事。
Shared space settings	共享空间设置
This memory is no longer in your diary.	这条回忆已不在日记中。
Remove this memory from this device? The cloud copy will remain.	要从本机日记移除这条回忆吗？云端原记录仍会保留。
Keep it	保留
Remove memory	移除回忆
Nothing here just yet.	这里还没有回忆。
Try another search or save a favorite.	换个关键词，或收藏一顿美好。
Export backup	导出备份
Import	导入
Kept on this device. Always yours.	本机日记与缓存，随时可备份。
Your name	你的名字
A little about you	关于你
The best things are better shared.	美好值得一起分享。
Your person	与你相伴的人
Our story began	故事开始的日子
Your shared space lives in this local diary. Memories you share appear in Us.	共享空间目前保存在本机。分享的回忆会出现在「我们」，暂不跨设备共享。
Save our story	保存我们的故事
At your table	饮食偏好
Cuisines you love	喜欢的菜系
Make it your own. Add personal tags like Date Night or Sunday Ritual when you save a memory.	保存回忆时，加上「约会之夜」或「周日仪式」这样的专属标签。
Save preferences	保存偏好
Make yourself at home	按你喜欢的方式
App language	应用语言
Follow system	跟随系统
Simplified Chinese	简体中文
English	English
Only changes Savor, not your phone or WeChat language.	仅切换 Savor 的界面语言，不修改手机或微信语言。
In-app reminders	应用内提醒
A nudge to notice the little moments.	提醒你留意生活里的小美好。
Quiet motion	减少动态效果
Keep transitions simple and gentle.	让动画与切换更轻柔。
For the meals that become memories.	让每一顿，成为值得珍藏的回忆。
Version 1.0 / Your personal food diary	版本 1.0 / 你的美食回忆日记
Your moments. Your choice.	你的回忆，由你决定。
New meals and photos are saved in your private cloud space, with a cache on this device. Sharing here does not yet share with another person.	新餐食和照片保存在你的私人云空间，本机保留缓存。「分享」目前不会把数据发送给另一位用户。
Private by default	默认仅自己可见
Keep new memories just for you.	新回忆默认不出现在「我们」。
Location in details	详情显示地点
Display the city on memory pages.	在回忆详情中显示城市。
